theme,series,name,unit,source,definition,primary,secondary,tertiary
Health,ARTVTHCV,"Antiretroviral therapy coverage, total",%,Compiled by World Bank,Antiretroviral therapy coverage indicates the percentage of adults and children with advanced HIV infection currently receiving antiretroviral therapy among the estimated number of people needing antiretroviral therapy based on WHO 2010 guidelines.,Antiretroviral therapy coverage,,total
Health,HIVSFEIN,Female share of people living with HIV,%,Compiled by World Bank,The percentage of the HIV female population aged 15-49 of the total HIV population in the same age group.,People living with HIV,all women,female
Health,INMORATO,"Infant mortality rate, total","Deaths Per 1,000 Births","Compiled by World Bank, Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","Number of deaths under one year of age occurring among the live births in a given geographical area during a given year, per 1,000 live births occurring among the population of the given geographical area during the same year.",Infant mortality rate,,total
Health,NEMORATO,"Neonatal mortality rate, total","Deaths Per 1,000 Births","Compiled by World Bank, Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",Neonatal mortality rate,,total
Health,MALHFEIN,"Malnutrition prevalence, height for age, stunting, female",%,"Compiled by World Bank; Data from WHO, Global Database on Child Growth and Malnutrition",Prevalence of child malnutrition is the percentage of children under age 5 whose height for age (stunting) is more than two standard deviations below the median for the international reference population ages 0-59 months. For children up to two years old height is measured by recumbent length. For older children height is measured by stature while standing. The data are based on the WHO's new child growth standards released in 2006.,Malnutrition prevalence,"stunting, height for age",female
Health,MALHMAIN,"Malnutrition prevalence, height for age, stunting, male",%,"Compiled by World Bank; Data from WHO, Global Database on Child Growth and Malnutrition",Prevalence of child malnutrition is the percentage of children under age 5 whose height for age (stunting) is more than two standard deviations below the median for the international reference population ages 0-59 months. For children up to two years old height is measured by recumbent length. For older children height is measured by stature while standing. The data are based on the WHO's new child growth standards released in 2006.,Malnutrition prevalence,"stunting, height for age",male
Health,OWC5FEIN,"Malnutrition prevalence, weight for age, overweight, female",%,"Compiled by World Bank; Data from WHO, Global Database on Child Growth and Malnutrition",Prevalence of overweight children is the percentage of children under age 5 whose weight for height is more than two standard deviations above the median for the international reference population of the corresponding age as established by the WHO's new child growth standards released in 2006.,Malnutrition prevalence,"overweight, weight for age",female
Health,OWC5MAIN,"Malnutrition prevalence, weight for age, overweight, male",%,"Compiled by World Bank; Data from WHO, Global Database on Child Growth and Malnutrition",Prevalence of overweight children is the percentage of children under age 5 whose weight for height is more than two standard deviations above the median for the international reference population of the corresponding age as established by the WHO's new child growth standards released in 2006.,Malnutrition prevalence,"overweight, weight for age",male
Health,MALWFEIN,"Malnutrition prevalence, weight for age, underweight, female",%,"Compiled by World Bank; Data from WHO, Global Database on Child Growth and Malnutrition",Prevalence of child malnutrition is the percentage of children under age 5 whose weight for age is more than two standard deviations below the median for the international reference population ages 0-59 months. The data are based on the WHO's new child growth standards released in 2006.,Malnutrition prevalence,"underweight, weight for age",female
Health,MALWMAIN,"Malnutrition prevalence, weight for age, underweight, male",%,"Compiled by World Bank; Data from WHO, Global Database on Child Growth and Malnutrition",Prevalence of child malnutrition is the percentage of children under age 5 whose weight for age is more than two standard deviations below the median for the international reference population ages 0-59 months. The data are based on the WHO's new child growth standards released in 2006.,Malnutrition prevalence,"underweight, weight for age",male
