ISO,1995,2000,2005,2010
ALB,49.6,53.5,,
DZA,,28,,42.4
AND,,,50.2,
ARG,28,18.7,27.1,
ARM,60.1,,,37.9
AUS,58.8,,64.4,58.9
AZE,48.5,,,29.4
BGD,60,52.7,,
BLR,62.8,,,50.5
BIH,59.9,49.9,,
BRA,,,51.5,
BGR,52.3,,47,
BFA,,,69.1,
CAN,,54.5,56.5,
CHL,23.9,29.9,24.8,31.7
CHN,,78.8,70.3,55.1
COL,31.3,,26.1,26.8
HRV,52.9,,,
CYP,,,55.6,47.6
DOM,44.1,,,
ECU,,,,35.2
EGY,,54.2,43,77.9
SLV,16.9,,,
EST,52,,,45.6
ETH,,,70.2,
FIN,42.1,,39.1,
FRA,,,45,
GEO,52.6,,57.5,
DEU,82.1,,67.9,69.4
GHA,,,53.4,52
GTM,,,22.6,
HUN,54.5,,51.8,
IND,47.9,54.3,48.6,
IDN,,43.4,43.5,
IRN,,59,48,
IRQ,,60.1,72.2,54.5
ISR,,76.3,,
ITA,,,46.1,
JPN,,71.2,70.8,73.2
JOR,,49.9,42.1,41.2
KAZ,,,,49.6
KWT,,,,68.4
KGZ,,56.6,,67.9
LVA,59.5,,,
LBN,,,,61.6
LBY,,,,54
LTU,50.9,,,
MKD,43.6,53.5,,
MYS,,,38,49
MLI,,,70.2,
MEX,48.4,37.2,36.9,30.6
MNE,49.6,55,,
MAR,,26.1,37.8,19.2
NLD,,,57.5,72.5
NZL,63.1,,60.2,64.8
NGA,45.6,60.6,,63.5
NOR,71.8,,80.1,
PAK,,37.5,,60.6
PER,37.7,52.1,25,31.7
PHL,50.7,51,,58.9
POL,49.9,,44.7,53.4
QAT,,,,73.9
KOR,67.5,60.1,46.3,48.1
MDA,43.8,53.3,40.4,
ROU,50.1,,42,44.8
RUS,45,,44.6,36.4
RWA,,,56.2,69.2
SAU,,63.9,,
SRB,47.7,45.7,41.2,
SGP,,39,,45.9
SVK,67,,,
SVN,48.6,,52.7,43.3
ZAF,56.1,58.1,48.4,
ESP,30.9,36.2,37.6,33.8
SWE,56.5,,65.4,63.1
CHE,51.3,,75.4,
TZA,,70.9,,
THA,,,85.2,
TTO,,,36,42.4
TUN,,,,53
TUR,65.4,48.5,47.8,61.2
UGA,,60.2,,
UKR,50.6,,60.1,36.3
GBR,,,50.3,
USA,65.9,69.2,63.3,65.6
URY,41.2,,42.7,33.3
UZB,,,,55.3
VEN,18.6,27.8,,
VNM,,86.2,83.1,
YEM,,,,51.2
ZMB,,,60.8,
ZWE,,37.4,,55.9
# Series: INTPOLMV,,,,
"# Name: Percentage of respondents who are somewhat or very interested in politics, % male",,,,
# Definition: Percentage of males that are somewhat or very interested in politics.,,,,
# Source: World Values Survey,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
