ISO,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010
ARM,,,,,,29.5,,,,,,
BEN,,,,,,28.8,,,,,,
BTN,,,,,,25.9,,,,,,
BOL,,,,,10,,,10.3,,,,
BRA,,,,,,,,,,,3.8,
BFA,,,,,,26.3,,,,,,
BDI,,10.3,,,,,,,,,,
KHM,,,,,,,29.3,,,,,
CMR,,,,23.2,,,,,,,,
CPV,,,,,21.1,,,,,,,
COL,,,,,,13.6,,,,,,
COG,,,,,,,,19.4,,,,
CIV,,,,,23.1,,,,,,,
DOM,,,5.4,,,,,,,,,
SLV,,,,,,9.2,,,,,,
GAB,,,,,,,,11.8,,,,
GHA,,23.2,,,,,,,,,,
GTM,,,12.1,,,,,,12.6,,,
GIN,,,,,,22.2,,,,,,
IND,,,,,,,,38,,,,38.8
IDN,,,,,38.1,,,,,,,
JOR,,,,,8.3,,,,,,,
KAZ,,,,,,16.9,,,,,,
LSO,,,,,19.9,,,,,,,
LBR,,,,,,,,,,9.6,,
MDG,,,,,,,,22.8,,,,
MWI,,,,,,,19.7,,,,,
MLI,,,,,,,,,26.2,,,
MEX,,,,,,,7.2,,,,,
MAR,,21.7,,,,,,,,,,
MOZ,,,,,,17.4,,,,,,
NPL,,,,,,26.3,,,,,,
NIC,,19.8,,21.2,,,,21.2,,,,
NER,,,,,,,,26.4,,,,
NGA,,,,,,,17.3,,,,,
PAK,,,,,,,,40.4,,,,
PAN,7.1,,,,,,,,,,,
PRY,,,,,18.2,,,,,,,
PER,,,,,14.5,,,,14,,,
PHL,,,,,,23.2,,,,,,
SEN,,,,26.7,,,,,,,,
SLE,,,,,,21.4,,,,,,
ZAF,,,11.8,,,,,,,,,
LKA,,,,,27.4,,,,,,,
TJK,,,,,,32.1,,,,,,
THA,,,,,12,,,,,,,
TLS,,,,25.6,,,,,,,,
TGO,,,,,,,,,31.1,,,
TUR,,,,,8.1,,,,,,,
UGA,,,,,,,,27.3,,,,
VNM,,,,,,,33.1,,30.2,,,
ASE,,,,,,,,39.2,,,,38.8
SAM,,,,,,,,38,,,,38.8
SAE,,,,,,,,32.706,,,,28.977
# Series: EECYTOMP,,,,,,,,,,,,
"# Name: Youth employment by economic class, moderately poor, Total",,,,,,,,,,,,
"# Definition: The share of moderately poor (between US$1.25 and US$2, PPP) male and female youths in total employment",,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,
