ISO,1995,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,,42.5,43.2,40.1,41.1,42.5
AND,,,,,,,,,22,22,22,22,22,22,,,
ATG,,,15.8,22.2,22.2,22.2,40.9,38.1,47.6,44.4,44,45.8,44.4,60,60,52.2,
ARG,,0,0,0,0,0,0,11.1,22.2,28.6,28.6,28.6,28.6,28.6,28.6,28.6,
ARM,12.7,,,21,20.6,,,11,18.8,21.2,21.8,21.3,21.3,22.4,21.3,21.9,
AUT,,,,33.3,34,35.1,36.1,38.7,40.3,44.2,45.5,45.2,45.8,47.4,48.5,49.6,50.8
AZE,,,,,,,,,,,,,,,,11.4,
BEL,,,,,,,,,,,,,,46.5,,,
BLZ,,0,0,0,0,0,0,0,20,40,28.6,33.3,22.2,22.2,28.6,22.2,
BOL,,,,,,,,,,,,25,25,18.2,18.2,33.3,
BIH,,,,,,,,,,,62.3,,,,,,
BRA,,0,0,9.1,9.1,7.7,7.7,9.1,9.1,15.4,16.7,18.2,18.2,18.2,20,20,
BGR,,,,,,,66.4,65.9,66.1,65.8,65.6,66.7,,,,,
CHL,,,,,,,4.8,4.8,5,5.3,14.3,15.8,25,25,25,30,
COL,,0,0,0,0,4.3,8.7,8.7,8.7,8.7,13,17.4,17.4,33.3,29.6,21.1,
CRI,,9.5,9.1,9.1,12,13.3,17.2,17.2,20,22.2,26.1,26.1,30.4,35,35,30,
HRV,52.9,,,60.8,61.7,62,62.8,62.9,63.5,64.9,65.6,66.1,66.3,67.5,67.7,68.8,
CUB,,,,,,,,,,,,9.1,9.1,9.1,27.3,27.3,
CYP,,,,,,,,,,,37.6,39.3,,,44.3,,43.6
CZE,61.6,,,62.8,62.2,62,61.7,62.5,62.5,62.3,61.4,61.2,61.8,61.1,61.2,61,
DNK,,,,,,,,,,,,,,,56.8,57.2,57.5
DMA,,0,0,0,0,0,100,100,100,0,0,45.8,44.4,60,60,52.2,
DOM,,,,,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,23.1,26.7,25,
ECU,,,,,,,,,6.5,6.5,6.5,4.8,4.8,4.8,,42.9,
SLV,,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,33.3,33.3,33.3,33.3,33.3,33.3,40,
EST,,,,61.7,62.2,62.4,63,62.9,62.7,63.1,62.9,62.9,62.8,62.9,61.9,,
