ISO,1998,2000,2003,2004,2005,2006,2007,2008,2009,2010
AUS,,,8,,,,,,,
AZE,,,,,,7.7,,,,
CMR,,,,45.1,,,,,,
CPV,,,,,20.3,,,,,
CRI,,,11,,,,,,,
CZE,,,12,,,,,,,
COD,,,,,,,49,,,
DNK,,,4,,,,,,,
DOM,,,,,,,9.7,,,
EGY,,,,,22.6,,,,,
GHA,,,,,,,,17.2,,
HTI,,,,,,15.6,,,,
IND,,,,,,18.9,,,,
ITA,,,,,,2.7,,,,
JOR,,,,,,,13.3,,,
KEN,,,24,,,,,,,
LBR,,,,,,,28.9,,,
MWI,,,,14.5,,,,,,
MAR,,,,,,,,,,15.2
MOZ,,,,17,,,,,,
NGA,,,,,,,,15,,
PHL,,,,,,,,7.3,,
POL,,,,5,,,,,,
MDA,,,,,12.6,,,,,
RWA,,,,,19.4,,,,,
STP,,,,,,,,,21.2,
ZAF,10,,,,,,,,,
SWE,,5,,,,,,,,
CHE,,,1,,,,,,,
TLS,,,,,,,,,,29.2
UGA,,,,,,34.4,,,,
UKR,,,,,,,8.8,,,
USA,,1.9,,,,,,,,
ZMB,,,,,,,32.5,,,
ASA,,1.9,,,,,,,,
ASE,,,,,,18.9,,,,
NAN,,1.9,,,,,,,,
SAM,,,,,,18.9,,,,
NAE,,1.71358,,,,,,,,
SAE,,,,,,14.1022,,,,
# Series: IPNPPTCP,,,,,,,,,,
"# Name: Intimate partner and/or non-partner violence, physical, % women who experienced in the last 12 months",,,,,,,,,,
# Definition: Country-specific data on % of women who are victims of intimate partner and/or non-partner physical violence in the last 12 months.,,,,,,,,,,
"# Source: UN Women - from DHS, WHO Multi-country study, International Violence Against Women Surveys",,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,
