ISO,2010,2012,2014
ALB,no,no,no
DZA,yes,yes,yes
AGO,no,no,no
ARG,yes,yes,yes
ARM,yes,yes,yes
AUT,no,no,yes
AZE,yes,yes,yes
BGD,no,no,no
BLR,yes,yes,yes
BEL,yes,yes,yes
BEN,no,no,no
BOL,yes,yes,yes
BIH,yes,yes,yes
BWA,no,no,no
BRA,yes,yes,yes
BGR,no,no,no
BFA,no,no,no
BDI,no,no,no
KHM,no,no,no
CMR,yes,yes,yes
CAN,yes,yes,yes
TCD,yes,yes,yes
CHL,yes,yes,yes
CHN,no,no,no
COL,yes,yes,yes
COG,yes,yes,yes
CRI,yes,yes,yes
CIV,yes,yes,yes
HRV,yes,yes,yes
CZE,yes,yes,yes
DNK,yes,yes,yes
DOM,yes,yes,yes
ECU,no,no,no
EGY,no,no,no
SLV,yes,yes,yes
EST,no,yes,yes
ETH,no,no,no
FJI,yes,yes,yes
FIN,yes,yes,yes
FRA,yes,yes,yes
GAB,yes,yes,yes
GEO,no,no,no
DEU,no,no,no
GHA,no,no,no
GRC,yes,yes,yes
GTM,yes,yes,yes
GIN,yes,yes,yes
HTI,,,yes
HND,yes,yes,yes
HUN,yes,yes,yes
ISL,yes,yes,yes
IND,no,no,no
IDN,no,no,no
IRN,yes,yes,yes
IRL,yes,yes,yes
ISR,yes,yes,yes
ITA,yes,yes,yes
JAM,yes,yes,yes
JPN,no,no,no
JOR,yes,yes,yes
KAZ,yes,yes,yes
KEN,yes,yes,yes
KSV,yes,yes,yes
KWT,yes,yes,yes
KGZ,yes,yes,yes
LAO,no,no,no
LVA,yes,yes,yes
LBN,no,no,no
LSO,no,no,no
LBR,no,no,no
LTU,yes,yes,yes
MKD,no,no,no
MDG,no,no,no
MWI,yes,yes,yes
MYS,no,no,no
MLI,yes,yes,yes
MRT,yes,yes,yes
MUS,no,no,no
MEX,yes,yes,yes
MNG,yes,yes,yes
MNE,no,no,yes
MAR,yes,yes,yes
MOZ,no,no,no
NAM,no,no,no
NPL,no,no,no
NLD,yes,yes,yes
NZL,yes,yes,yes
NIC,yes,yes,yes
NER,yes,yes,yes
NGA,no,no,no
OMN,no,no,no
PAK,no,no,no
PAN,yes,yes,yes
PNG,no,no,no
PRY,yes,yes,yes
PER,no,no,no
PHL,no,no,no
POL,yes,yes,yes
KOR,yes,yes,yes
MDA,no,no,no
RUS,yes,yes,yes
RWA,yes,yes,yes
SAU,no,no,no
SEN,yes,yes,yes
SRB,no,no,no
SLE,,no,no
SGP,no,no,no
SVK,yes,yes,yes
SVN,no,no,no
ZAF,no,no,no
ESP,yes,yes,yes
LKA,no,no,no
SDN,no,no,no
SWE,yes,yes,yes
CHE,no,no,no
SYR,no,no,no
TJK,yes,yes,yes
TZA,yes,yes,yes
THA,no,no,no
TGO,yes,yes,yes
TUN,no,no,no
TUR,no,no,no
UGA,yes,yes,yes
UKR,yes,yes,yes
ARE,no,no,no
GBR,yes,yes,yes
URY,yes,yes,yes
UZB,yes,yes,yes
VEN,yes,yes,yes
VNM,yes,yes,yes
YEM,no,no,no
ZMB,no,no,no
ZWE,yes,yes,yes
# Series: EGEEPWBL,,,
# Name: Must employers give employees an equivalent position when they return from maternity leave?,,,
# Definition: Must employers give employees an equivalent position when they return from maternity leave?,,,
"# Source: World Bank, Women Business and the Law",,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
