ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,3.1,,,,,
ARM,,6.4,,,,,5.7,,,,,3.8,,,
AZE,,,,,,,,15.9,,,,,,,
BGD,,,,,,,,,14.6,,,,11.4,,
BEN,,,22.7,,,,,15.2,,,,,6.7,,
BOL,,,,,2.5,,,,,2.4,,,,,
BFA,,,,,39.6,,,,,,,20.1,,,
BDI,,,,,,,,,,,,21.4,,,
KHM,,,,,,,22.8,,,,,10.9,,,
CMR,,,,,,14.6,,,,,,,10.8,,
COL,,,,,,,,,,,,0.2,,,
COM,,,,,,,,,,,,,,9.3,
CIV,,,,,,,,,,,,,23.2,,
COD,,,,,,,,,37.9,,,,,,51.1
DOM,,,,0.4,,,,,0.3,,,,,,0.3
EGY,,,,,,,11.9,,,2.6,,,,,
ERI,,,,23.1,,,,,,,,,,,
ETH,,44.2,,,,,41.6,,,,,,25.9,,
GAB,,,,,,,,,,,,,,21.9,
GHA,,,,,18.6,,,,,11.5,,,,,
GIN,,,,,,,44.2,,,,,,,68.6,
GUY,,,,,,,,,,,3,,,,
HTI,,4.4,,,,,3.5,,,,,,,1.3,
HND,,,,,,,2.7,,,,,,1.6,,
IND,,,,,,,15.8,,,,,,,,
IDN,,,,2.8,,,,,3.5,,,,,2.7,
JOR,,,,1.7,,,,,10,,,,,1.4,
KEN,,,,,29.9,,,,,15.7,,,,,
KGZ,,,,,,,,,,,,,,6.4,
LSO,,,,,,21.8,,,,,15.8,,,,
LBR,,,,,,,,,34,,,,,,22.3
MDG,,,,,1.6,,,,,5.1,,,,,
MWI,,14.1,,,,7.6,,,,,,4.4,,,
MDV,,,,,,,,,,,8.2,,,,
MLI,,,48.9,,,,,41.2,,,,,,54.2,
MAR,,,,,25.4,,,,,,,,,,
MOZ,,,,,25,,,,,,,,4.8,,
NAM,,,,,,,,4.5,,,,,,,
NPL,,,6.9,,,,,5.6,,,,,,,
NIC,,,2.2,,,,,,,,,,,,
NER,,,,,,,,43.8,,,,,,38.8,
NGA,,,,,25,,,,,12.9,,,,,9.6
PAK,,,,,,,,,,,,,,12.3,
PER,,,,,,0.2,,,0.3,,0.4,0.4,0.4,0.5,
PHL,,,,,2.4,,,,,1.7,,,,,1.9
MDA,,,,,,,1.5,,,,,,,,
RWA,,7.6,,,,,4.8,,,,,21.8,,,
STP,,,,,,,,,,5.6,,,,,
SEN,,,,,,,33.7,,,,,26,,,
SLE,,,,,,,,,,41.7,,,,,34.7
SWZ,,,,,,,,9.5,,,,,,,
TJK,,,,,,,,,,,,,,31.1,
TZA,,,,,,37.2,,,,,,25,,,
TLS,,,,,,,,,,,62.1,,,,
TKM,,21,,,,,,,,,,,,,
UGA,,21,,,,,,21.8,,,,,17,,
UKR,,,,,,,,,0,,,,,,
ZMB,,,37.8,,,,,,33.4,,,,,,
ZWE,18.1,,,,,,11.9,,,,,7.5,,,
ASE,,,,,,,15.8,,,,,,,,
SAM,,,,,,,15.8,,,,,,,,
SAE,,,,,,,11.7877,,,,,,,,
# Series: BEATREHQ,,,,,,,,,,,,,,,
"# Name: Women who believe a husband is justified in beating his wife when she argues with him (%), highest income quintile",,,,,,,,,,,,,,,
"# Definition: Survey question; Percent of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him, by household wealth index",,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,
