ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ALB,,,,,,,,,,,83.8,,,92,,,
ARM,,,,,,79.1,,,,,68,,,,,93.1,
AZE,,,,,,,,,,,,47.5,,,,,
BGD,,67.8,,,68.2,,,,,75.7,,88.2,84.1,,,,
BLR,,,,,,,,,,,89,,,,,,
BLZ,,,,,,,,,,,,80,,,,,
BEN,,65.4,,,,,67,,,,,61.9,,,,,
BOL,,,,48.6,,,,,63.2,,,,,71.6,,,
BIH,,,,,,,,,,,,79.7,,,,,
BRA,,87.2,,,,,,,,,,,,,,,
BFA,,,,44.3,,,,,58.2,,,74.8,,,,,
BDI,,,,,,,,,,,81.3,,,,,,
KHM,,,,,,53.8,,,,,75.6,,,,,83.3,
CMR,,,,52.9,,,,,,65.2,,89,,,,,
CAF,,,,,,,,,,,,62.9,,,,,
TCD,,20.5,,,,,,,,23,,,,,,,
COL,81.8,,,,,70.9,,,,,81.5,,,,,80.6,
COM,,63.9,,,,,,,,,,,,,,,
COG,,,,,,,,,,,68.9,,,,,,
CIV,,,,67.9,,,,,,,,87.4,,,,,
CUB,,,,,,,,,,,,89,,,,,
COD,,,,,,,,,,,,,63.9,,,,
DJI,,,,,,,,,,,,76.1,,,,,
DOM,,79.7,,,86.1,,,88.3,,,,,76,,,,
EGY,88.7,,,,,97.2,,,,,95.9,,,98.4,,,
ETH,,,,,,25.7,,,,,33.2,,,,,,55.7
GAB,,,,,,54.5,,,,,,,,,,,
GMB,,,,,,,,,,,93.9,,,,,,
GEO,,,,,,,,,,,55.8,,,,,,
GHA,,,,72.6,,,,,83.2,,,85.9,,91.7,,,
GTM,74.4,,,79.3,,,,,,,,,,,,,
GIN,,,,,52,,,,,,48.8,,,,,,
GNB,,,,,,,,,,,,74.2,,,,,
GUY,,,,,,,,,,,,94.3,,,75.6,,
HTI,,,,,,53.6,,,,,61.1,,,,,,
HND,,,,,,,,,,,84.9,,,,,,
IND,,,,49.7,,,,,,,55.8,,,,,,
IDN,,,72.8,,,,,70.5,,,,,77.9,,,,
IRQ,,,,,,,,,,,,69,,,,,
JAM,,,,,,,,,,,81.3,,,,,,
JOR,,,89.7,,,,,95.6,,,,,94.8,,,,
KAZ,74.8,,,,78.1,,,,,,,98.9,,,,,
KEN,,,,79.1,,,,,72.1,,,,,85.9,,,
KGZ,,,85.3,,,,,,,,82.1,,,,,,
LAO,,,,,,,,,,,,38.3,,,,,
LSO,,,,,,,,,,84.4,,,,,82.6,,
LBR,,,,,,,,,,,,,65,,,,
MKD,,,,,,,,,,,74.5,,,,,,
MDG,,,44.5,,,,,,65.6,,,,,70.2,,,
MWI,,,,,,83.2,,,,78.6,,86.9,,,,94.3,
MDV,,,,,,,,,,,,,,,94.2,,
MLI,47,,,,,,48,,,,,65.5,,,,,
MRT,,,,,,,,,,,,,73.6,,,,
MNG,,,,,,,,,,,89.5,,,,,,
MNE,,,,,,,,,,,70.8,,,,,,
MAR,,,,,,,,,92.3,,,,,,,,
MOZ,,,57.1,,,,,,76,,,,,73.1,,,
NAM,,,,,,81.7,,,,,,84.8,,,,,
NPL,,54,,,,,68.5,,,,,82.8,,,,,86.3
NIC,,,85.9,,,,72.9,,,,,,,,,,
NER,,,,34.3,,,,,,,,47.4,,,,,
NGA,,,,,40.7,,,,38.1,,,,44.1,41.4,,,
PAK,,,,,,,,,,,,56.1,,,,,
PER,,86.9,,,,73.2,,,,73.7,,,,,,,
PHL,,,,79,,,,,81.2,,,,,83.8,,,
MDA,,,,,,,,,,,52.4,,,,,,
RWA,,,,,,88.3,,,,,86.4,,,,,95.1,
STP,,,,,,,,,,,,,,81.3,,,
SEN,,,,,,,,,,,73.9,,,,,82.1,
SRB,,,,,,,,,,,74.5,,,,,,
SLE,,,,,,,,,,,75.4,,,60.7,,,
SOM,,,,,,,,,,,,28.9,,,,,
ZAF,,,,80.8,,,,,,,,,,,,,
SUR,,,,,,,,,,,,57.9,,,,,
SWZ,,,,,,,,,,,,91.5,,,,,
SYR,,,,,,,,,,,,81.4,,,,,
TJK,,,,,,,,,,,80,,,,,,
TZA,,81,,,76,,,,,80,,,,,,82.7,
THA,,,,,,,,,,,97,,,,,,
TLS,,,,,,,,,,,,,,,66.5,,
TGO,,,,40.2,,,,,,,,65.2,,,,,
TTO,,,,,,,,,,,,79.7,,,,,
TUR,,,,78.2,,,,,78.8,,,,,,,,
UGA,58.9,,,,,57.4,,,,,,69.1,,,,,
UZB,,92.3,,,,,,,,,,96.7,,,,,
VUT,,,,,,,,,,,,,52.1,,,,
VNM,,,78.2,,,,,82.2,,,,88.7,,,,,
YEM,,,,,,,,,,,,64.5,,,,,
ZMB,,86.8,,,,,86,,,,,,84.9,,,,
ZWE,,,,,80.9,,,,,,68.2,,,,89.2,80.2,
ASE,,,,49.7,,,,,,,55.8,,,,,,
SAM,,,,49.7,,,,,,,55.8,,,,,,
SAE,,,,37.198,,,,,,,41.63,,,,,,
# Series: IMCVFEIN,,,,,,,,,,,,,,,,,
"# Name: MCV immunization, female",,,,,,,,,,,,,,,,,
# Definition: The percentage of children aged 12-23 months who have received at least one dose of measles-containing vaccine in a given year.,,,,,,,,,,,,,,,,,
# Source: WHO; aggregates MICS and DHS,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
