ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,18.6,,,,,
ARM,,24.4,,,,,27.9,,,,,13.4,,,
AZE,,,,,,,,43.6,,,,,,,
BGD,,,,,,,,,22.8,,,,25.4,,
BEN,,,34.2,,,,,25.9,,,,,8.8,,
BOL,,,,,8.8,,,,,6.8,,,,,
BFA,,,,,47.5,,,,,,,26,,,
BDI,,,,,,,,,,,,29.7,,,
KHM,,,,,,,28.4,,,,,27.2,,,
CMR,,,,,,31.2,,,,,,,24.4,,
COL,,,,,,,,,,,,0.7,,,
COM,,,,,,,,,,,,,,15.3,
CIV,,,,,,,,,,,,,34.7,,
COD,,,,,,,,,49.7,,,,,,59.7
DOM,,,,1.6,,,,,1.1,,,,,,1.2
EGY,,,,,,,46.4,,,18.3,,,,,
ERI,,,,43.3,,,,,,,,,,,
ETH,,59.6,,,,,59,,,,,,40.5,,
GAB,,,,,,,,,,,,,,35,
GHA,,,,,30.8,,,,,24.5,,,,,
GIN,,,,,,,48.9,,,,,,,75.7,
GUY,,,,,,,,,,,11.3,,,,
HTI,,12.6,,,,,10.4,,,,,,,4,
HND,,,,,,,7.5,,,,,,7,,
IND,,,,,,,33.6,,,,,,,,
IDN,,,,5.8,,,,,7.2,,,,,7.1,
JOR,,,,10.5,,,,,27,,,,,15.6,
KEN,,,,,52,,,,,35.3,,,,,
KGZ,,,,,,,,,,,,,,19.9,
LSO,,,,,,42.7,,,,,36.7,,,,
LBR,,,,,,,,,40.7,,,,,,38.8
MDG,,,,,3.9,,,,,6.6,,,,,
MWI,,20.5,,,,12.6,,,,,,6.3,,,
MDV,,,,,,,,,,,18,,,,
MLI,,,63.1,,,,,47.5,,,,,,58.1,
MAR,,,,,52,,,,,,,,,,
MOZ,,,,,32.4,,,,,,,,12.5,,
NAM,,,,,,,,23.2,,,,,,,
NPL,,,8.6,,,,,7.3,,,,,,,
NIC,,,7.4,,,,,,,,,,,,
NER,,,,,,,,47.2,,,,,,52.8,
NGA,,,,,43.6,,,,,31.8,,,,,24.8
PAK,,,,,,,,,,,,,,27.6,
PER,,,,,,2,,,2,,2.2,2.1,1,1.7,
PHL,,,,,7.8,,,,,4.3,,,,,4.6
MDA,,,,,,,23.5,,,,,,,,
RWA,,11.2,,,,,7.6,,,,,34.6,,,
STP,,,,,,,,,,8.2,,,,,
SEN,,,,,,,43.5,,,,,37.5,,,
SLE,,,,,,,,,,52,,,,,43
SWZ,,,,,,,,23.9,,,,,,,
TJK,,,,,,,,,,,,,,50.1,
TZA,,,,,,47.5,,,,,,40.3,,,
TLS,,,,,,,,,,,65.6,,,,
TKM,,35.8,,,,,,,,,,,,,
UGA,,38.7,,,,,,42.9,,,,,32.4,,
UKR,,,,,,,,,12.6,,,,,,
ZMB,,,57.6,,,,,,48,,,,,,
ZWE,38.4,,,,,,35.4,,,,,22.7,,,
ASE,,,,,,,33.6,,,,,,,,
SAM,,,,,,,33.6,,,,,,,,
SAE,,,,,,,25.0675,,,,,,,,
# Series: BEATREPE,,,,,,,,,,,,,,,
"# Name: Women who believe a husband is justified in beating his wife when she argues with him (%), primary education",,,,,,,,,,,,,,,
"# Definition: Survey question; Percent of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him, by highest educational level of respondent",,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,
