ISO,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,35.5,40.2,28.3,39.2,44.3,56.5,59.3,54.3,51.7,74,37.4
ALB,,6.5,11.5,14.2,18,25.5,16,21.8,21.5,34.4,30.9
DZA,31,33,43.5,40.3,40,40.5,31.3,49.6,47.3,56,36.5
AND,,,,,,,,,,,6.8
AGO,30.2,28,26.5,18,21.5,26.5,29.5,36.5,28.5,58.4,37.8
ARG,12,15.2,21.3,13.7,17.3,24.8,14.1,11.3,16.4,14,25.7
ARM,,25.2,23.5,26,25.5,23.6,22.8,31.1,27.5,27,28
AUS,3.5,9.3,9.5,6.5,9,8.8,6.3,3.1,5.4,4,15.2
AUT,7.5,2.8,3.3,2.5,4.5,4.3,3.5,3,0.5,-8,9.4
AZE,34.5,34.5,49.7,51,47,55.4,53.6,53.5,56.4,87.3,47.7
BHR,23,35.2,52.5,38.8,28,38,21.2,36.5,,125,62.8
BGD,43.8,46.5,62.5,61.3,48,53.2,42.7,37.3,42.5,57,42
BLR,52.2,52,54.1,61.3,57,63.6,58.3,59.5,57,99,48.4
BEL,3.5,1.2,4,4,4,1.5,3,2.5,4,-2,12.9
BEN,6,5.3,5.5,5.5,5.5,17,15,16,19,31,28.3
BTN,90.8,77.3,55.8,51.5,25,37.2,15.5,15.8,17.8,24,28.4
BOL,14.5,9.7,20,9.7,4.5,21.5,28.2,24.2,28.1,40,32.8
BIH,,,,,,,,,13.5,19.5,26.9
BWA,,13,11.5,14,13,23.5,14,15.5,17.5,12,22.9
BRA,18.8,16.8,16.5,14.5,17.2,25.3,18,15.9,16.6,35.3,32.8
BRN,,,,,,,,63.5,51,56.2,35.5
BGR,9.8,6.5,8,10.3,9,16.3,12.5,15.6,19,29,28.6
BFA,27.8,18,16.3,19,16,21.5,13,15,15,23.3,23.7
BDI,24.5,26.3,19,23,39.8,43.4,21,29,28.9,57.8,38
KHM,24.3,19.5,36.5,23,27.3,25.3,35.5,35.2,43.8,55,41.8
CMR,28.8,30.5,27,20.5,28.3,36,36.9,30.5,44.3,35,34.8
CAN,0.8,1.8,3.3,4.5,4.5,4.9,3.3,3.7,7,-5.7,12.7
CPV,13.8,8.3,8.8,6,11.5,14,8,11,8,-6,14.3
CAF,21.5,32.8,32.5,19.8,14.5,22.5,18.5,17.8,18.5,20,26.6
TCD,28.8,24,33.3,30,35.5,36.5,41.3,44.5,33.2,37.7,34.9
CHL,6.5,6.8,10,11.8,11.6,12.1,11.5,10.5,10.5,29,26.2
CHN,97,91.3,92.3,83,94,89,85.5,84.5,84.7,136,73.1
COL,40.8,49.2,47.4,40.2,44.8,42.3,35.5,40.1,51.5,66.5,37.5
COM,20.5,18.5,26.5,22,22.5,28,20,19,19,13,24.5
COG,,,,,,,,,,,28.2
CRI,4.3,3.8,7.6,8.5,6.7,6.5,5.1,8,8.1,-2.3,12.1
CIV,19,42.2,60.4,52.3,25,,,,,,29.8
HRV,8.8,16.5,11.8,12.8,13,12.5,8.5,17.2,17.5,23.3,26.6
CUB,90.3,97.8,106.8,87,95,96.2,88.3,94,78,98.8,71.6
CYP,,20.8,22,5.5,7.5,14,7.5,5.5,13.4,-3,13.8
CZE,11.3,2.5,3.5,1,0.8,4,4,5,7.5,37,10.2
PRK,,,,,,,,,104.8,141,83.9
COD,,,,,,,,,,,41.7
DNK,3,1,0.5,0.5,5,2,3.5,0,2.5,-5.7,7.1
DJI,31.3,35.5,55,37,33,50.3,41.5,31,30.5,83.5,67.4
DOM,,17,6.8,12.3,12.8,22.8,18,26.8,26.1,33.3,28.3
ECU,5.5,7.7,16.5,21.8,15.3,18.5,15.5,20,27.5,38,34.7
EGY,34.5,34.3,43.5,52,46.3,58,50.3,51.4,43.3,97.5,48.7
SLV,8.8,6.8,6,5.8,10,20.2,12.8,17.3,15.8,9.3,22.9
GNQ,42.8,44.8,46.3,44,48,65.3,59.3,65.5,79,86,67.2
ERI,83.7,91.5,93.3,99.8,97.5,114,97.5,115.5,105,142,84.8
EST,,2.5,2,1.5,2,1,2,0.5,2,-9,9.3
ETH,37.5,37.5,37,42,75,63,47.8,49,49.4,56.6,39.6
FJI,,11.5,16,14,14,33.5,16,60,52.8,55,32.7
FIN,0.5,0.5,0.5,0.5,0.5,1.5,2,0,0,-10,6.4
FRA,3.3,4.2,3.5,6.3,9,9.8,7.7,10.7,13.4,9.5,21.6
GAB,20.5,31.3,37.5,26,28.5,31.5,26.8,43.5,28.8,36.5,28.7
GMB,22.5,18.3,29.5,41,54,48.3,42.8,48.3,40.5,65.5,45.1
GEO,,17.3,27.5,25.2,21,20.8,31.3,18.8,27,38,30.1
DEU,1.5,1.3,2,4,5.5,5.8,4.5,3.5,4.3,-3,10.2
GHA,23,8.8,13.5,15,8.5,9,7.5,6,8,11,17.3
GRC,5,6,7,4,8,9.3,7.5,9,19,24,28.5
GTM,27.3,30.8,16.5,21.5,21.3,33,22.6,29.5,20.3,35,29.4
GIN,26,33.2,24.5,26,27.5,33.5,21.5,28.5,33.5,30,28.5
GNB,30.3,35.3,23.5,17,14.5,33.5,16.3,23.5,18.3,26,28.9
GUY,,,,,,,19.8,10.5,16.6,19.5,27.1
HTI,36.5,31,42.1,33.5,19.5,23.5,15.1,15,16.4,15.7,24.1
HND,,14.2,11.8,18,14.5,25.5,21.5,42,51.1,61,36.9
HUN,6.5,3.3,6,2,3,4.5,5.5,5.5,7.5,10,26.1
ISL,0.5,0.5,0.5,0.5,0.5,0.8,1.5,2,0,-7,8.5
IND,26.5,39,38.5,27,26.5,39.3,30,29.3,38.8,58,41.2
IDN,20,34.3,37.8,26,26,30.5,27,28.5,35.8,68,41.1
IRN,48.3,89.3,78.3,89.2,90.9,96.5,80.3,104.1,94.6,136.6,73.4
IRQ,79,37.5,58.5,67,66.8,67.8,59.4,53.3,45.6,75.4,44.7
IRL,1,2.8,0.5,0.5,0.5,2,2,0,2,-4,10.1
ISR,30,8,8,10,12,13.3,8.8,23.8,,,33
ITA,11,9.8,9,8.7,9.9,11.3,8.4,12.1,15,19.7,26.1
JAM,,3.3,4.2,7.5,5.5,8.6,4.9,4.8,7.7,-3,9.9
JPN,7.5,8,10,8,12.5,11.8,6.5,3.3,2.5,-1,25.2
JOR,33.5,37,39.1,24,27.5,40.2,36,31.9,37,56.8,38.5
KAZ,42,42.5,44.2,36.2,41,41.6,35.3,49.7,68.5,77.5,55.1
KEN,24.8,18.5,22.3,30,30.3,23.8,21.3,25,19,29.5,27.8
KSV,,,,25.8,16,19.8,12,16.6,24.8,30,28.5
KWT,25.5,31.3,31.7,21.3,17,20.2,12.6,15.3,23.8,28,28.3
KGZ,,,,,,,,,63,40,32.2
LAO,89,94.8,64.3,66.5,67.5,75,70,92,80.5,89,68
LVA,,2.3,1,2.5,3,3.5,3,3,8.5,15,22.9
LBN,19.7,32.5,24.4,28.3,27,28.8,14,15.4,20.5,31.5,30.2
LSO,,17.8,29.5,19.5,16,29.5,29.5,27.5,24,21,28.4
LBR,37.8,40,40,20.5,19,25.3,9.8,15.5,22.5,40.5,29.9
LBY,72.5,60,65,88.8,62.5,66.5,61.5,64.5,63.5,77.5,37.9
LIE,,,,,,,,,,,7.4
LTU,,2.8,3,4.5,6.5,7,4,2.3,2.5,4,18.2
LUX,,,,,,,1.5,4,4,-7,6.7
MKD,,,,,,,,,,,34.3
MDG,22.8,8.2,18.5,24.5,15,20,21,45.8,34.9,29.5,28.6
MWI,27.7,21,31,22.8,25.5,26.8,15,15.5,21,68,28.2
MYS,37.8,32,39.8,33,22.3,41,39.5,44.3,50.8,56,42.7
MDV,,47.5,69.2,58.5,51.3,45.2,23.3,14,16,25,31.1
MLI,12.5,11,12.8,8,9,16.5,7.5,8,8,0,30
MLT,,,,,,,,2.5,4,19.5,23.3
MRT,41.3,36.7,51,40,17.5,15.5,23.9,28.5,25.4,22.2,26.8
MUS,9.5,7.3,10.5,7.5,8,8.5,9,14,18,17,26.5
MEX,24.8,17.7,27.8,45.5,45.8,53.6,46.1,48.3,47.5,72.7,45.3
MNG,24.5,18.3,19,12.5,19.3,23.4,20.8,23.3,19.4,35.8,29.9
MNE,,,,,11.5,19,10,17,28.5,39,33
MAR,29,39.7,43,36.2,24.8,33.3,32.3,41,47.4,63.3,39
MOZ,23.5,14,16.3,10.5,11.5,23,20.5,19,26.5,21.5,28
MMR,,,,,,,,,94.5,100,44.7
NAM,8,11,10,5.5,6,8.5,5.5,9,7,-2,12.5
NPL,63,51.5,84,86.8,73.5,53.8,43.3,35.6,36.4,38.8,34.6
NLD,0.5,0.5,0.5,0.5,0.5,3.5,4,1,0,-9,6.5
NZL,,2.8,0.7,2,5,4.2,3,3,1.5,-5.3,8.4
NIC,,6.5,11.7,15.3,15.5,14.3,12.5,16.8,22.3,24.3,28.3
NER,18.5,15.8,18.3,13,24.5,25.5,37,48.5,28.5,2.5,23.1
