ISO,1995,2000,2005,2010
ALB,23.7,27.5,,
DZA,,19.1,,31.6
AND,,,32.4,
ARG,23.7,17.6,17.2,
ARM,42.8,,,32
AUS,52.6,,52.3,47.4
AZE,35.3,,,18.1
BGD,38.8,21.9,,
BLR,48.8,,,32.2
BIH,34.1,29,,
BRA,,,46.5,
BGR,33.2,,36.9,
BFA,,,51.8,
CAN,,42.6,48.7,
CHL,17,20.6,19.5,19.7
CHN,,62.3,53.4,37.3
COL,27.2,,17.9,22.6
HRV,32.1,,,
CYP,,,26.9,32.3
DOM,47,,,
ECU,,,,29.8
EGY,,30,29.4,70.9
SLV,13.7,,,
EST,46.2,,,30.5
ETH,,,61.7,
FIN,35.9,,36.4,
FRA,,,29.4,
GEO,47.1,,52,
DEU,71.8,,56,55.8
GHA,,,44.1,36.2
GTM,,,22,
HUN,45.6,,39.4,
IND,25.2,24.7,26.6,
IDN,,28,27.5,
IRN,,49.9,43,
IRQ,,45,50.6,37.7
ISR,,64.5,,
ITA,,,28.7,
JPN,,55,59.3,58.5
JOR,,50.8,37.5,37.7
KAZ,,,,39.1
KWT,,,,51.1
KGZ,,41.2,,63.1
LVA,46.2,,,
LBN,,,,46.6
LBY,,,,64.3
LTU,36.9,,,
MKD,22.2,38.2,,
MYS,,,29.8,38.1
MLI,,,62.8,
MEX,37.2,30,30.4,30
MNE,28.8,35.7,,
MAR,,12.4,29,11.1
NLD,,,44.7,57.9
NZL,57.4,,52.6,56.4
NGA,28.7,44.2,,49.2
NOR,65.2,,72.6,
PAK,,20.8,,48.4
PER,26.4,43,18.6,21.1
PHL,48.2,48.4,,58.2
POL,35.3,,35.8,32.8
QAT,,,,64.2
KOR,56.4,39.4,36.3,29.3
MDA,25.7,42.5,33.9,
ROU,28.6,,23.2,29.6
RUS,27.6,,33.2,29.9
RWA,,,45.6,62.1
SAU,,63.5,,
SRB,26.1,31.2,23.2,
SGP,,32.6,,39.9
SVK,48.4,,,
SVN,39.6,,38.2,36.2
ZAF,42.5,41.6,39.5,
ESP,21.1,23.3,27.4,26.8
SWE,45.7,,53.3,52.2
CHE,35.4,,69.2,
TZA,,71.3,,
THA,,,82,
TTO,,,34.7,35
TUN,,,,29.6
TUR,52,31.6,29.2,41
UGA,,41.3,,
UKR,31.8,,44.8,31
GBR,,,38.1,
USA,60,61.7,55.2,53.6
URY,33.5,,32.5,28.1
UZB,,,,38.5
VEN,18.6,21,,
VNM,,70.3,60.6,
YEM,,,,46
ZMB,,,47.1,
ZWE,,24.7,,36.2
# Series: INTPOLFV,,,,
"# Name: Percentage of respondents who are somewhat or very interested in politics, % female",,,,
# Definition: Percentage of females that are somewhat or very interested in politics.,,,,
# Source: World Values Survey,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
