ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2009,2010,2012
ARM,,61.2,,,,,,,,,,
BGD,,,,,,46.8,,,62.1,,,
BEN,,,30.2,,,,,49.6,,,,
BOL,,,,,76.3,,,,,,,
BFA,,,,,20.1,,,,,,,
KHM,,,,,,,23.3,,,,,
CMR,,,,,,29.5,,,,,,
COL,,74.8,,,,,72.6,,,,73,
COD,,,,,,,,,44.9,,,
EGY,,47.2,,,,,,,,,,
ERI,,,,83.5,,,,,,,,
GHA,,,,,46.4,,,,,,,
GIN,,,,,,,43.5,,,,,
HTI,,30.2,,,,,,,,,,
IDN,,,,,84.8,,,,82.9,,,
JOR,,,,86.6,,,,,,,,
KEN,,,,,41.1,,,,,,,
LSO,,,,,,43.9,,,,,,
MDG,,,,,,72.3,,,,,,
MWI,,33.2,,,,42,,,,,,
MLI,,,15.6,,,,,14.4,,,,
MAR,,,,,30.4,,,,,,,
MOZ,,,,,67.7,,,,,,,
NPL,,,29.3,,,,,40.5,,,,
NIC,,,65.3,,,,,,,,,
NER,,,,,,,,25.2,,,,
NGA,,,,,21.2,,,,,,,
PER,,63,,,,55,,,55.1,57.4,45.1,47.4
PHL,,,,,88,,,,,,,
RWA,,54.1,,,,,54.6,,,,,
SEN,,,,,,,12.6,,,,,
TZA,,,,,,53.3,,,,,,
TKM,,66.1,,,,,,,,,,
UGA,,59.7,,,,,,,,,,
ZMB,,,,44.9,,,,,,,,
ZWE,53,,,,,,56.3,,,,,
# Series: HEPAFELQ,,,,,,,,,,,,
"# Name: Women's participation in decision-making of own healthcare, lowest income quintile",,,,,,,,,,,,
# Definition: A measue of women's agency: women's autonomy in household decision making: final say in own health care by household wealth index,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,
