ISO,2003,2004,2005,2006,2007,2008,2009,2010,2011
ALB,,,1.6,1.3,1.3,1.2,1.1,0.7,0.7
DZA,2.3,1.9,1.1,1.1,1.1,1,1.1,0.9,0.8
ARG,,,8.2,8.4,8.3,8.5,,,
ARM,0.1,0.3,0.5,0.2,0.2,0.5,0.5,0.4,0.3
AUT,,8.4,8.2,8.5,8.5,8.3,9.3,10.4,11.6
AZE,0.6,0.3,0.5,0.4,0.4,0.3,0.4,0.2,
BHS,,,27.2,22.2,41.1,35.4,32.2,22.7,30.8
BHR,2.9,4,3.4,2.1,2.3,3.4,,,
BGD,,,8,8.2,,,,,
BRB,,,,,,,24.9,,
BLR,4.4,3.9,4.9,3.6,3.5,2.5,2.3,,
BEL,27.7,28.4,29.1,30.7,30.9,29.8,28.4,29.1,28.1
BLZ,,,17.1,15.3,,,9.8,6.7,8.5
BOL,,,12.4,14,17.3,18.9,22.7,29.1,25.5
BIH,,,1,1.1,1.2,0.9,0.8,1.2,0.9
BWA,,,,,,,88.5,92.9,88.6
BRA,,,,12.6,13.5,14.7,17.5,21.1,21
BRN,6.9,7.3,6.6,7.6,,,,,
BGR,7.8,6.8,5.2,4,2.9,3.5,3.3,2.8,2.1
BDI,,,,,,7.4,8.4,8.3,7.5
CMR,2.7,3.2,3.4,3.2,2.4,,,,
CAN,1.7,1.8,1.8,1.7,1.6,1.5,1.4,1.7,1.6
CHL,,,,17.4,17.7,19.9,20.1,18.3,20.8
COL,,2.8,6.1,7.7,7.6,7.5,7.8,6.8,7.6
CRI,,,,29.9,30,30,34.9,34.6,34.7
HRV,4.8,3.7,3.2,4.2,3.7,4.3,2.9,3.2,2.8
CYP,3.2,4,3.8,2.8,1.8,3.2,2.5,3.3,3.4
CZE,6.3,6.7,5.8,5.2,6.2,5.1,4.6,5.6,6.4
DNK,8.8,10.4,8.8,9.7,9,7.2,6.4,6.2,6.1
ECU,11.5,9.4,11.2,10.9,,,,,
EGY,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SLV,,,19.6,18.8,9.4,9.2,12.3,11,5.2
EST,7.9,9,13.3,11.4,9.1,11.9,9.2,6,6.8
FIN,11,11.4,11.3,11.6,14,17.2,12.4,15.2,19.3
FRA,17.3,17.3,16.4,15.9,16.4,16.5,15.8,16.1,16.5
GEO,1.1,1.4,3.1,3.8,3.5,2.3,1.9,1.9,
DEU,10.6,10.7,9.9,9.8,9.1,8.8,8.9,9.4,9.2
GRC,2.1,2.2,1.6,1.6,1.6,2.1,1.9,1.9,1.5
GRD,,,22.4,21.4,29,29.9,54.8,30.6,
GTM,,2.9,2.5,2.2,2.4,2.8,2.9,,
GIN,,,,,1,,,,
GUY,,,,,,,8.2,15.5,31.7
HND,,,,,,,,,23.1
HUN,5.3,2.6,2.6,2,2.1,2.1,2.3,2.5,2
ISL,23.8,17.4,25.3,23.9,28.5,21.9,24.7,,
IND,,1.6,1.6,1.7,1.8,1.8,1.8,1.8,
IDN,,,,,,1.2,1.1,0.9,0.8
IRL,9.2,10,10.8,8.8,8.3,8,8.5,10.7,10.2
ISR,,20.4,18.5,19.1,18.4,17.5,,13.8,13.8
JAM,,,,26.2,26.4,31.4,25.9,26.2,29.6
JPN,2,1.7,1.6,1.5,1.4,1.3,1.1,1,0.9
JOR,,,1.5,2,,,,,
KAZ,,,10.4,10.3,9.8,8.3,8.7,8.7,10.9
KEN,,4.1,3.8,3.5,2.3,1.9,2.1,2.3,2.2
KWT,,4.5,4.8,5.3,5.6,4.7,4.5,,
KGZ,5.9,5.5,5.9,5.3,5.8,5.8,5.7,5.9,6.1
LVA,5.3,13.8,10.9,5.6,4.1,4.4,3.1,3.5,
LBN,,,1,0.5,,,,,
LSO,,,,,85.3,88.3,82.7,,
LTU,8.1,7.6,7.8,7.4,5.9,4.9,4.5,6.3,5.8
LUX,,,,8.6,9.2,11.7,11.3,13,13.6
MKD,,,4.6,2.4,2.1,2,1.8,1.4,2
MDV,0.7,0.3,,,1.6,2.9,,,
MLT,2.7,3.2,1.7,4.1,2.4,4.6,2.9,2.6,4.3
MUS,4.3,3.2,3,5.1,6,5.4,4.4,3.9,4.4
MEX,,13,12.7,12.9,13,12.7,13.3,13.2,13
MNG,15.5,15,12.6,12.2,13.5,13.3,12.2,12.4,13.1
MNE,,,1.3,1.8,1.1,2.7,1.4,0.8,1.4
MAR,2.1,1.5,1.6,3.5,3.9,3.6,4.8,,
MOZ,,0.5,0.3,0.2,0.2,0.2,0.2,,
NPL,,,0.7,0.8,,,,,
NLD,10.5,11.1,15.2,14.6,12.7,11.6,11.2,9.9,9.5
NZL,,,24,28.3,27,26.4,26.1,25.8,30
NIC,,,24.4,27.7,,,,31.6,
NOR,15.5,16.1,17.3,18,20,19.8,20.6,19.2,21.8
OMN,,,,,5.2,6.9,,,
PAN,,19.8,23.8,24,25.5,20.9,23.4,28.3,28.8
PRY,,,,21.4,20.9,21.1,22.1,20.6,19.2
PER,22.3,21,22.7,23.6,25.6,26.6,23.5,,
PHL,3.7,3.5,3.5,3,2.7,2.9,6.1,5.1,5
POL,6.1,5.7,5.2,5.2,4.8,4.2,4,4.1,3.9
PRT,3.7,3.2,3.5,3.2,2.9,3,3.5,4,3.5
QAT,1.7,1.8,,,,,,,
KOR,12.7,13.5,,,,,,,
MDA,7,7.8,7.4,7.2,7.7,8.4,7.3,10.3,8.2
ROU,4.5,4.4,4.7,5.1,4.8,4.7,4.7,4.2,3.6
RUS,5.6,6.1,6.4,6.2,4.9,4.3,3.8,3.4,3.4
VCT,,60.8,80,45.9,55,33,49.4,25.6,51.2
STP,,,,0.6,1.3,3.1,4.3,1.2,1.8
SEN,,,2.8,1.4,1.5,3.5,5.9,5.6,
SRB,,,0.9,1.2,1.1,1.2,1.1,0.7,0.8
SLE,,,,,2.5,1.4,,,
SGP,2.7,2.5,2.9,2.7,2.8,3.5,4.1,3.2,2.9
SVK,4.3,4.1,3.7,3.2,3.4,2.8,2.6,2.1,2.7
SVN,3.5,4.4,2.9,2.7,4.8,2.8,3.9,3.1,2.7
SLB,,37.2,13.8,16.4,12.3,11,,,
ESP,,,4.9,4.8,5.7,5.4,4.5,3.4,3.3
LKA,7.1,7.3,,,,,,,
SDN,,,,,,2.9,,,
SUR,38.2,45.2,,,,,,,
SWZ,72.1,77.5,,,,,,,
SWE,25,25.2,41.9,46.3,51.8,59,63.8,63.5,69.2
CHE,7.5,7.8,8.7,8.6,8.6,8.1,8.7,7.1,7.2
SYR,0.7,0.5,0.7,0.6,0.6,0.8,,,
TJK,,0.8,0.8,0.9,0.7,0.8,0.5,0.8,0.6
THA,,,7.6,7.9,7.6,6.8,6.8,6.7,
TTO,,23.3,25.4,19.6,23.9,17.7,18.5,16.2,14.9
TUR,2.4,2.4,2.5,2.6,1.6,1.5,,,
TKM,0.8,0.8,0.6,0.6,,,,,
UGA,2,2,2.6,2.6,2,4.9,1.9,2.1,
UKR,2.2,2,2,2.1,1.9,1.9,1.7,1.4,
ARE,1.3,1.4,1.5,1.5,,,,,
USA,32.2,32.3,31.8,31.5,30.6,29.8,29,27.6,26.6
URY,8.9,9.8,,6.7,6.2,6.2,6.3,6.7,6.7
YEM,,,0.5,0.4,0.6,0.7,0.8,,
ZWE,30.6,39.7,38.1,39.6,38.2,25.6,,,
ACE,7.71143,7.66757,7.64545,7.43111,7.67273,7.65682,7.59302,7.40488,8.32703
HIA,8.92647,9.79474,11.2395,10.9707,11.8025,11.6275,11.8974,11.0917,12.0514
AME,,,,18.5143,20.7111,19.2444,21.525,20.2667,21.9
LMA,,10.78,6.25,7.025,9.465,9.44286,10.4947,9.30625,
ASA,16.95,17.05,16.8,16.6,16.1,15.65,15.2,14.65,14.1
ASE,,3.06667,3.43333,3.56667,1.7,2.35,1.8,1.8,
ECM,5.9,6.1,4.9,5.1,4.8,4.3,4,4,3.9
HIM,6.3,7.6,7.8,7.6,6.2,6.9,6.4,6.3,6.8
LCM,,,,18.8,17.7,18.9,20.1,20.6,21
LMM,,2.9,2.8,3,2.4,2.9,4.8,5.1,
NAN,1.7,1.8,1.8,1.7,1.6,1.5,1.4,1.7,1.6
SAM,,1.6,1.6,1.7,1.6,1.8,1.8,1.8,
ECE,5.46551,5.62044,6.2234,6.15853,5.86597,5.69378,5.3761,5.28339,5.27542
HWW,12.1206,12.4709,12.1356,12.2919,11.952,11.6784,11.2286,10.884,10.7326
LCE,,,,11.5271,11.3616,11.835,12.3409,12.5485,12.4557
LMW,,1.17765,1.2606,1.37594,1.3982,1.56735,1.67411,1.56131,
NAE,29.2068,29.3046,28.8501,28.5687,27.7453,27.0078,26.2681,25.0265,24.1089
SAE,,1.29372,1.987,2.07952,1.34371,1.34435,1.34409,1.34429,
# Series: RANLPRTL,,,,,,,,,
"# Name: Rape at the national level, number of police-recorded offences per 100,000",,,,,,,,,
"# Definition: “Rape” means sexual intercourse without valid consent. (UN-CTS M3.4) - In the UN-CTS data, the rape rate is calculated per 100,000 population. Therefore the rates for the female population, being the principal victims, are in practice twice as high as those presented.",,,,,,,,,
# Source: UNODC - United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (CTS),,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,
