ISO,1999,2000,2001,2002,2003,2004,2005
ARM,,7.6,,,,,
BGD,,,,,,4.2,
BEN,,,12.5,,,,
BOL,,,,,4.5,,
BFA,,,,,13.5,,
KHM,,15.8,,,,,
CMR,,,,,,9.8,
TCD,,,,,,7.5,
COL,,1.4,,,,,1.1
DOM,,,,1.5,,,
EGY,,0.5,,,,,
ERI,,,,4.3,,,
ETH,,3.5,,,,,
GHA,,,,,10.7,,
GIN,,,,,,,15.1
HTI,,3.6,,,,,
KEN,,,,,7,,
LSO,,,,,,7.6,
MDG,,,,,,14.8,
MWI,,13.2,,,,10.5,
MLI,,,17.6,,,,
MAR,,,,,,5.5,
MOZ,,,,,4.9,,
NAM,,2,,,,,
NPL,,,6.2,,,,
NIC,,,2.6,,,,
NGA,,,,,10.6,,
PER,,4,,,,,
PHL,,,,,4.5,,
RWA,,14.9,,,,,15.8
SEN,,,,,,,26.6
TZA,,,,,,,7
TKM,,37.6,,,,,
UGA,,,7.3,,,,
ZMB,,,,10.4,,,
ZWE,11,,,,,,
# Series: ECSSODHS,,,,,,,
# Name: Single women's control over earnings - someone else only,,,,,,,
"# Definition: Percent distribution of women employed in the 12 months who received cash earning for work by person who decides how earnings are used, according to current marital status and the proportion of household expenditures met by earnings.",,,,,,,
# Source: DHS Household Surveys,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,
