ISO,2013
AFG,no
ALB,yes
DZA,yes
AND,yes
AGO,yes
ATG,no
ARG,yes
ARM,no
AUS,yes
AUT,no
AZE,yes
BHS,no
BHR,yes
BGD,no
BRB,no
BLR,yes
BEL,yes
BLZ,no
BEN,yes
BOL,yes
BIH,yes
BWA,no
BRA,yes
BGR,yes
BFA,yes
BDI,no
KHM,no
CMR,no
CAN,no
CPV,yes
CAF,yes
TCD,yes
CHL,yes
CHN,yes
COL,yes
COM,yes
COG,no
COK,yes
CRI,yes
CIV,no
CUB,yes
CYP,yes
CZE,yes
COD,yes
DNK,yes
DJI,yes
DMA,no
DOM,yes
ECU,yes
EGY,yes
SLV,yes
ERI,no
EST,yes
ETH,no
FJI,yes
FIN,yes
FRA,yes
GAB,no
GMB,yes
GEO,yes
DEU,yes
GHA,no
GRC,yes
GRD,no
GTM,yes
GIN,yes
GNB,yes
GUY,no
HTI,no
HND,yes
HUN,yes
ISL,no
IND,yes
IDN,yes
IRN,no
IRQ,yes
IRL,no
ISR,yes
ITA,yes
JAM,no
JPN,yes
JOR,yes
KAZ,no
KEN,no
KIR,no
KWT,no
KGZ,yes
LAO,no
LVA,yes
LBN,yes
LSO,yes
LBR,no
LBY,yes
LIE,yes
LTU,yes
MKD,yes
MDG,yes
MWI,no
MYS,no
MDV,no
MLI,no
MLT,no
MHL,yes
MRT,no
MUS,yes
MEX,yes
FSM,no
MCO,yes
MNG,no
MNE,yes
MAR,no
MOZ,yes
MMR,yes
NAM,no
NPL,yes
NLD,yes
NZL,yes
NIC,yes
NER,yes
NGA,no
NIU,yes
NOR,yes
OMN,no
PAK,no
PLW,no
PAN,yes
PNG,yes
PRY,yes
PER,yes
PHL,yes
POL,yes
PRT,yes
KOR,yes
MDA,yes
ROU,yes
RUS,yes
RWA,no
KNA,no
LCA,no
VCT,no
WSM,yes
SMR,yes
STP,yes
SEN,no
SRB,yes
SYC,no
SLE,no
SGP,no
SVK,yes
SVN,yes
SLB,no
ZAF,no
SSD,yes
ESP,yes
LKA,yes
SDN,yes
SUR,no
SWZ,no
SWE,yes
CHE,yes
TJK,yes
TZA,no
THA,yes
TLS,yes
TGO,yes
TON,yes
TTO,no
TUN,no
TUR,no
TKM,yes
TUV,no
UGA,no
UKR,yes
GBR,yes
USA,no
URY,yes
UZB,yes
VUT,no
VEN,no
VNM,yes
YEM,yes
ZMB,no
ZWE,no
# Series: COTBOVRE,
# Name: Binary indicator demonstrating whether compulsory to be on the voters register,
# Definition: Binary indicator. Countries receive a 'yes' if it is compulsory to be on the voters register.,
"# Source: ACE, The Electoral Knowledge Network",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
