ISO,2013
ALB,no
DZA,no
AGO,no
ARG,no
ARM,no
AUS,no
AUT,no
AZE,no
BGD,no
BLR,no
BEL,no
BEN,no
BOL,no
BIH,yes
BRA,no
BGR,no
BFA,no
KHM,no
CMR,no
CAN,yes
TCD,no
CHL,no
COL,no
COG,no
CRI,yes
CIV,no
HRV,yes
CZE,no
COD,no
DNK,no
DOM,no
ECU,no
EGY,no
SLV,no
EST,no
FRA,no
GAB,yes
GEO,no
DEU,no
GHA,yes
GTM,no
HND,no
HUN,no
ISL,no
IND,no
IDN,no
IRN,no
IRL,yes
ISR,no
ITA,no
JAM,yes
JPN,no
JOR,no
KAZ,no
KEN,no
KWT,no
KGZ,no
LVA,no
LBN,no
LBR,no
LTU,no
MKD,no
MDG,no
MYS,no
MLI,no
MRT,no
MUS,no
MEX,no
MNG,no
MNE,no
MAR,no
MOZ,no
NPL,no
NZL,yes
NIC,no
NER,yes
NGA,yes
NOR,no
PAK,no
PAN,no
PNG,no
PRY,no
PER,no
PHL,yes
POL,no
PRT,no
KOR,no
MDA,no
ROU,no
RUS,no
RWA,no
SEN,no
SRB,no
SLE,yes
SGP,no
SVK,yes
SVN,no
ZAF,no
ESP,no
LKA,no
SDN,no
SYR,no
TJK,no
TZA,no
THA,no
TGO,no
TUR,no
UGA,no
UKR,no
ARE,no
GBR,no
USA,no
URY,no
UZB,no
VEN,yes
YEM,no
ZMB,yes
ZWE,no
# Series: CHJUSWOM,
# Name: Binary indicator demonstrating whether Chief Justice is a woman,
# Definition: Binary indicator. Countries receive a 'yes' if the chief justice is a woman.,
"# Source: World Bank, Women Business and the Law",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
