ISO,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010
ALB,,,8.2,,,,,,,,
ARM,,,,,,,,,,8.9,
AUS,,,,25,,,,,,,
AZE,,,,,,,12.8,,,,
BGD,,,,,,,,48.7,,,
KHM,,,,,,12.8,,,,,
CMR,,,,,38.6,,,,,,
CPV,,,,,,15.7,,,,,
CHL,,,,,15,,,,,,
CHN,,15.4,,,,,,,,,
COL,,,,,,33.4,,,,,
CRI,,,,33,,,,,,,
CZE,,,,35,,,,,,,
COD,,,,,,,,56.9,,,
DNK,,,,20,,,,,,,
DOM,,,,,,,,16.1,,,
ECU,,,,,31,,,,,,
EGY,,,,,,33.2,,,,,
SLV,,,,,,,,,24.2,,
FIN,,,,,,17.6,,,,,
GEO,,,,,,4.8,,,,,
DEU,,,,23,,,,,,,
GHA,,,,,,,,,20.6,,
HTI,,,,,,,14.3,,,,
IND,,,,,,,35.1,,,,
IRL,,,,13,,,,,,,
ITA,,,,,,,12.2,,,,
JOR,,,,,,,,20.6,,,
KEN,,,,37,,,,,,,
KIR,,,,,,,,,60,,
LBR,,,,,,,,35,,,
LTU,,32.7,,,,,,,,,
MWI,,,,,22.1,,,,,,
MDV,,,,,,,17.9,,,,
MAR,,,,,,,,,,,6.4
MOZ,,,,,36,,,,,,
NIC,,,,,,,27,,,,
NGA,,,,,,,,,17.5,,
NOR,,,,,,,,,13.9,,
PRY,,,,,19.3,,,,,,
PER,,,,,,,,,,31.2,
PHL,,,,,,,,,14.4,,
POL,,,,,15,,,,,,
KOR,,,,,,,,14,,,
MDA,,,,,,24.1,,,,,
ROU,,,,,15.1,,,,,,
RWA,,,,,,30.7,,,,,
WSM,,40.5,,,,,,,,,
SVK,,,,,,,,,15,,
SLB,,,,,,,,,,45.5,
ZAF,12.5,,,,,,,,,,
SWE,,18,,,,,,,,,
CHE,,,,9,,,,,,,
TLS,,,,,,,,,,,33.5
TUR,,,,,,,,,,39.3,
UGA,,,,,,,48,,,,
UKR,,,,,,,,12.7,,,
GBR,,,,,,18.9,,,,,
USA,,22.1,,,,,,,,,
VNM,,,,,,,,,,32,
ZMB,,,,,,,,46.5,,,
ZWE,,,,,,,29.5,,,,
AAE,,27.95,,,,,,,,,
ASA,,22.1,,,,,,,,,
ASE,,,,,,,26.5,,,,
EAM,,15.4,,,,,,,,,
NAN,,22.1,,,,,,,,,
SAM,,,,,,,17.9,,,,
EAE,,9.65577,,,,,,,,,
NAE,,19.9317,,,,,,,,,
SAE,,,,,,,26.1935,,,,
# Series: IPVPFECP,,,,,,,,,,,
"# Name: Intimate partner violence, physical, % women who experienced in a lifetime",,,,,,,,,,,
# Definition: Country-specific data on % of women who are victims of intimate partner physical violence in a lifetime.,,,,,,,,,,,
"# Source: UN Women - from DHS, WHO Multi-country study, International Violence Against Women Surveys",,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,
