ISO,2000,2005,2010
ALB,56.4,,
DZA,41.6,,37.8
AND,,93.1,
ARG,67.5,70.3,
ARM,,,43.3
AUS,,83,87.1
AZE,,,35.6
BGD,34.7,,
BLR,,,42.9
BIH,75.3,,
BRA,,74.8,
BGR,,59.1,
BFA,,38,
CAN,80.1,80.3,
CHL,66.4,57.9,78.3
CHN,49.2,41.6,49.7
COL,,77.9,73.1
CYP,,76.2,73.9
ECU,,,76.7
EGY,21.2,5.4,18.1
EST,,,55
ETH,,82.9,
FIN,,84.3,
FRA,,80,
GEO,,36.6,
DEU,,83.2,84.3
GHA,,28.5,24.4
GTM,,72.8,
HUN,,62.1,
IND,37.4,36.6,
IDN,45,48,
IRN,37.6,27.8,
IRQ,9.5,11.4,30.1
ITA,,82.8,
JPN,42.5,62.3,39.9
JOR,19.3,25.7,19
KAZ,,,42.1
KWT,,,33.1
KGZ,48.4,,41.8
LBN,,,45.9
LBY,,,33.8
MKD,65.3,,
MYS,,40.8,37.3
MLI,,25.1,
MEX,56.8,73.4,79.5
MNE,51.2,,
MAR,24.1,56.9,34.5
NLD,,83.2,79.5
NZL,,82.7,81.9
NGA,26.9,,29.1
NOR,,86.1,
PAK,52.6,,31.4
PER,80.3,89.1,82.3
PHL,40.6,,51
POL,,54.9,61.6
QAT,,,17.5
KOR,56.5,48.9,61.3
MDA,44.4,53.2,
ROU,,45.9,54.5
RUS,,45.7,44.5
RWA,,49,53.5
SAU,32,,
SRB,54.1,68.7,
SGP,49.2,,57.6
SVN,,68.7,78.7
ZAF,61.1,57.4,
ESP,78,79.7,84.2
SWE,78.6,91.7,88.5
CHE,,80.9,
TZA,65,,
THA,,54.2,
TTO,,75.8,69.5
TUN,,,32.6
TUR,39.8,41.9,32.7
UGA,38.8,,
UKR,,54.1,59.1
GBR,,80,
USA,78,77.7,85.1
URY,,83.8,85.7
UZB,,,26.4
VEN,64.5,,
VNM,41.7,43.8,
YEM,,,19.9
ZMB,,56,
ZWE,51.2,,49.4
# Series: OTWMBPWW,,,
"# Name: Percentage of respondents who disagree or strongly disagree that men make better political leaders than women do, % female",,,
# Definition: Percentage of females who disagree or strongly disagree that men make better political leaders than women.,,,
# Source: World Values Survey,,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
