ISO,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,52.9,,,,,
ARM,,,,,,,,,,,,,,45.9,,,
AZE,,,,,,,,,,9,,,,,,,
BEN,,,,,45.8,,,,,77.2,,,,,71.9,,
BOL,,,,,,,31.6,,,,,32.1,,,,,
BFA,,,,,,,60.6,,,,,,,76.2,,,
BDI,,,,,,,,,,,,,,78.3,,,
KHM,,,,62.5,,,,,80,,,,,73.2,,,
CMR,,,,,,,,61.4,,,,,,,58.2,,
TCD,,,,,,,,36.2,,,,,,,,,
COL,,,,,,,,,,,,,,66.1,,,
COM,,,,,,,,,,,,,,,,53.1,
COG,,,,,,,,,58.3,,,,49.9,,66.2,,
CIV,,,,,,,,,65.9,,,,,,52.7,,
COD,,,,,,,,,,,42.3,,,,,,
DOM,75.8,,,,,77.7,,,,,75.1,,,,,,79.2
EGY,,,,,,,,,20.8,,,,,,,,
ERI,,,,,,66,,,,,,,,,,,
ETH,,,,,,,,,46.5,,,,,,52.4,,
GAB,,,,,,,,,,,,,,,,63,
GHA,,,,,,,68.8,,,,,68.7,,,,,
GIN,,,,,,,,,70.5,,,,,,,63.8,
GUY,,,,,,,,,,,,,56.8,,,,
HTI,,,,43,,,,,80.4,,,,,,,80.5,
HND,,,,,,,,,64.4,,,,,,63.3,,
IND,,,,,,,,,23.6,,,,,,,,
IDN,,,,,,7.7,,,,,,,,,,,
JOR,,,,,,18.4,,,,,40.2,,,,,,
KEN,,,,,,,58.2,,,,,70.5,,,,,
KGZ,,,,,,,,,,,,,,,,23.3,
LSO,,,,,,,,66.2,,,,,74.8,,,,
LBR,,,,,,,,,,,44,,,,,,66.1
MDG,,,,,,,45.9,,,,,63.6,,,,,
MWI,,,,56.7,,,,48.5,,,,,,66.3,,,
MLI,,,,,43.6,,,,,65.2,,,,,,56.9,
MAR,,,,,,,35.7,,,,,,,,,,
MOZ,,,,,,,51.4,,,,,,60.6,,49.7,,
NAM,,,,56.8,,,,,,76.9,,,,,,,
NPL,,,,,51.7,,,,,60.4,,,,,73.5,,
NIC,,,,,42.6,,,,,,,,,,,,
NER,,,,,,,,,,65.8,,,,,,60.8,
NGA,,,,,,,40.8,,,,,50.3,,,,,56.8
PAK,,,,,,,,,,,,,,,,20.2,
PER,,,,,,,,25.6,,,45.2,,51.5,51.5,52.4,52.6,
PHL,,,,,,,36.8,,,,,39.8,,,,,31.5
MDA,,,,,,,,,44.1,,,,,,,,
RWA,,,,55.3,,,,,73.7,,,,,79.2,,,
STP,,,,,,,,,,,,63.7,,,,,
SEN,,,,,,,,,77.9,,,,,71.2,,,
SLE,,,,,,,,,,,,44.5,,,,,63.4
ZAF,,68.5,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,83.7,,,,,,,
TJK,,,,,,,,,,,,,,,,16.9,
TZA,62,,61.9,,,,65.9,77.8,,,64.3,,,72.8,,,
TLS,,,,,,,,,,,,,17,,,,
TKM,,,,16.3,,,,,,,,,,,,,
UGA,,,,63.7,,,,65.2,,66.7,,,,,73.4,,
VNM,,,,,,,,,66,,,,,,,,
ZMB,,,,,63.2,,,,,,68.3,,,,,,
ZWE,,,56.8,,,,,,58.1,,,,,71.5,,,
# Series: HIVPREPE,,,,,,,,,,,,,,,,,
"# Name: Knowledge of HIV prevention methods, female, primary education",,,,,,,,,,,,,,,,,
"# Definition: The percent of respondents who, in response to a prompted question, say that people can protect themselves from contracting HIV by using condoms or having sex only with one faithful, uninfected partner, by highest educational level of respondent",,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
