ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2009,2010,2012
ARM,,65.6,,,,,,,,,,
BGD,,,,,,50.9,,,62.7,,,
BEN,,,13,,,,,31.9,,,,
BOL,,,,,72.1,,,,,,,
BFA,,,,,15.7,,,,,,,
KHM,,,,,,,22.1,,,,,
CMR,,,,,,20,,,,,,
COL,,73.6,,,,,74.4,,,,74.7,
COD,,,,,,,,,36,,,
EGY,,47.6,,,,,,,,,,
ERI,,,,81.7,,,,,,,,
GHA,,,,,33.2,,,,,,,
GIN,,,,,,,30.3,,,,,
HTI,,30.4,,,,,,,,,,
IDN,,,,85.7,,,,,80.6,,,
JOR,,,,92.3,,,,,,,,
KEN,,,,,46.7,,,,,,,
LSO,,,,,,47.6,,,,,,
MDG,,,,,75.7,,,,,,,
MWI,,30.8,,,,35.5,,,,,,
MLI,,,13,,,,,13,,,,
MAR,,,,,33.5,,,,,,,
MOZ,,,,,65,,,,,,,
NPL,,,28.2,,,,,34.3,,,,
NIC,,,56.5,,,,,,,,,
NER,,,,,,,,29.5,,,,
NGA,,,,,25.5,,,,,,,
PER,,63.3,,,,52,,,56,50.3,43.9,48.6
PHL,,,,,89.7,,,,,,,
RWA,,49.4,,,,,58.1,,,,,
SEN,,,,,,,11.1,,,,,
TZA,,,,,,56.4,,,,,,
TKM,,69.5,,,,,,,,,,
UGA,,48.7,,,,,,,,,,
ZMB,,,41.3,,,,,,,,,
ZWE,50.4,,,,,,72.7,,,,,
# Series: HEPAFENC,,,,,,,,,,,,
"# Name: Women's participation in decision-making of own healthcare, employed not for cash",,,,,,,,,,,,
# Definition: A measue of women's agency: women's autonomy in household decision making: final say in own health care by employment status,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,
