ISO,1995,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,,,0.1,,,,
ARM,,,,,,,,0.3,,,,,,,,,,
AZE,,,,,,,,,,,0.1,,,,,,,
BGD,,,,,14.8,,,,26.7,,,,,,,,,
BEN,,0.8,,,,0.9,,,,,,,,,,,0.5,
BOL,,,,,,,,10.4,,,,,12.2,,,,,
BRA,,17.9,,,,,,,,,,,,,,,,
BFA,,,,,,,,2.3,,,,,,,1.5,,,
BDI,,,,,,,,,,,,,,,1.2,,,
CMR,,,,,,,,,0.2,,,,,,,3.1,,
CAF,0.2,,,,,,,,,,,,,,,,,
COM,,0.8,,,,,,,,,,,,,,,,
CIV,,,,,,,,,,,,,,,,,2.6,
DOM,,,,10.3,,,12.9,,,,,13.5,,,,,,
EGY,2.7,,,,,,,,,,,,,,,,,
ERI,13.2,,,,,,17.1,,,,,,,,,,,
GAB,,,,,,,,,,,,,,,,,9.7,
GIN,,,,0.3,,,,,,,,,,,,,0.5,
GUY,,,,,,,,,,,,,,9.1,,,,
HTI,,,,,,,,,,,6.4,,,,,,7.3,
HND,,,,,,,,,,,13.8,,,,,,7.7,
IND,,,,2.4,,,,,,,,,,,,,,
JOR,,,,,,,,,,,,4.7,,7.8,,,5.8,
KEN,,,8.4,,,,,8.2,,,,,,6.8,,,,
KGZ,,,,,,,,,,,,,,,,,2.6,
LSO,,,,,,,,,8.1,,,,,10.1,,,,
LBR,,,,,,,,,,,,0.5,,,,,,
MWI,,,,,0.8,,,,1.5,,,,,,1.7,,,
MLI,,2.9,,,,2.5,,,,,2.8,,,,,,,
MRT,,,,,,6.9,,,,,,,,,,,,
MAR,,,,,,,,,10.1,,,,,,,,,
MOZ,,,,,,,,1.7,,,,,,,,4.2,,
NER,,,0.9,,,,,,,,1,,,,,,1.8,
NGA,,,,,,,,1.2,,,,,,,,,,
PAK,,,,,,,,,,,,3.7,,,,,,3.5
PER,,13,,,11.5,,,,,,12.2,,10.9,12.6,5,10.3,,
PHL,,,,,,,,,,,,,13.2,,,,,
RWA,,,,,1.6,,,,,,,,,,2.5,,,
SEN,,,,,,,,,,,,,,,,10.4,,
SLE,,,,,,,,,,,,,0.2,,,,,
TJK,,,,,,,,,,,,,,,,,0.3,
TZA,,,,,,,,,,2.1,,,,,2.9,,,
TLS,,,,,,,,,,,,,,,3.7,,,
TGO,,,0.1,,,,,,,,,,,,,,,
TUR,,,4.5,,,,,,,,,,,,,,,
UGA,1,,,,,,,,,,1.6,,,,,,,
ZMB,,2.7,,,,,10.2,,,,,,,,,,,
ZWE,,,,,,,,,,,10.8,,,,,8.4,,
ASE,,,,2.4,,,,,,,,,,,,,,
SAM,,,,2.4,,,,,,,,,,,,,,
SAE,,,,1.79457,,,,,,,,,,,,,,
# Series: OFDHHDHS,,,,,,,,,,,,,,,,,,
"# Name: Occupation - domestic and household work, Female",,,,,,,,,,,,,,,,,,
# Definition: Percent distribution of women employed in the 12 months before the survey in domestic and household work.,,,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
