ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ALB,,,,,,,,,,,55.2,,,99.6,,,
ARM,,,,,,91.8,,,,,63.9,,,,,91.3,
AZE,,,,,,,,,,,,18.9,,,,,
BGD,,64.9,,,73.7,,,,,82.6,,95.6,90.6,,,,
BLR,,,,,,,,,,,99.1,,,,,,
BLZ,,,,,,,,,,,,35.5,,,,,
BEN,,65,,,,,70.2,,,,,64.1,,,,,
BOL,,,,38.1,,,,,66.5,,,,,86.4,,,
BIH,,,,,,,,,,,,93.4,,,,,
BRA,,80.9,,,,,,,,,,,,,,,
BFA,,,,42.9,,,,,59,,,77.8,,,,,
BDI,,,,,,,,,,,67.4,,,,,,
KHM,,,,,,52.8,,,,,79.6,,,,,84.8,
CMR,,,,46.9,,,,,,66.3,,68.5,,,,,
CAF,,,,,,,,,,,,47,,,,,
TCD,,19.8,,,,,,,,35.3,,,,,,,
COL,80.3,,,,,70.9,,,,,72.4,,,,,83.8,
COM,,65.5,,,,,,,,,,,,,,,
COG,,,,,,,,,,,70.8,,,,,,
CIV,,,,60.9,,,,,,,,82.6,,,,,
CUB,,,,,,,,,,,,64.1,,,,,
COD,,,,,,,,,,,,,43.8,,,,
DJI,,,,,,,,,,,,52.4,,,,,
DOM,,46.7,,,53.3,,,43.3,,,,,70.9,,,,
EGY,84.4,,,,,94.5,,,,,89.6,,,93.7,,,
ETH,,,,,,36.3,,,,,47.1,,,,,,42.9
GAB,,,,,,30.5,,,,,,,,,,,
GMB,,,,,,,,,,,85.6,,,,,,
GEO,,,,,,,,,,,36.7,,,,,,
GHA,,,,71.4,,,,,80.7,,,82,,87,,,
GTM,55.9,,,68.7,,,,,,,,,,,,,
GIN,,,,,42.9,,,,,,51.5,,,,,,
GNB,,,,,,,,,,,,62.7,,,,,
GUY,,,,,,,,,,,,81.2,,,71.9,,
HTI,,,,,,40.7,,,,,50.5,,,,,,
HND,,,,,,,,,,,87.9,,,,,,
IND,,,,60.4,,,,,,,79.4,,,,,,
IDN,,,72.5,,,,,66,,,,,72.4,,,,
IRQ,,,,,,,,,,,,63.2,,,,,
JAM,,,,,,,,,,,75.6,,,,,,
JOR,,,96,,,,,97.2,,,,,96.6,,,,
KAZ,57.8,,,,82.6,,,,,,,96.1,,,,,
KEN,,,,76,,,,,66,,,,,78.6,,,
KGZ,,,87.5,,,,,,,,29.3,,,,,,
LAO,,,,,,,,,,,,41.5,,,,,
LSO,,,,,,,,,,79.2,,,,,74.8,,
LBR,,,,,,,,,,,,,47.7,,,,
MKD,,,,,,,,,,,74.9,,,,,,
MDG,,,47.6,,,,,,55.8,,,,,70.2,,,
MWI,,,,,,79.7,,,,78.5,,81.2,,,,86.5,
MDV,,,,,,,,,,,,,,,97,,
MLI,40.4,,,,,,39.7,,,,,65.4,,,,,
MRT,,,,,,,,,,,,,45,,,,
MNG,,,,,,,,,,,82.2,,,,,,
MNE,,,,,,,,,,,88.5,,,,,,
MAR,,,,,,,,,95.3,,,,,,,,
MOZ,,,58.3,,,,,,70,,,,,74.5,,,
NAM,,,,,,77.3,,,,,,78.6,,,,,
NPL,,52.1,,,,,92.1,,,,,92.4,,,,,93.2
NIC,,,84.4,,,,85,,,,,,,,,,
NER,,,,25.3,,,,,,,,55.5,,,,,
NGA,,,,,25.3,,,,27.8,,,,29.7,39.2,,,
PAK,,,,,,,,,,,,84.5,,,,,
PER,,70.5,,,,76.1,,,,76.8,,,,,,,
PHL,,,,80.6,,,,,79.8,,,,,86.8,,,
MDA,,,,,,,,,,,59.7,,,,,,
RWA,,,,,,87.2,,,,,83.7,,,,,93.4,
STP,,,,,,,,,,,,,,87.7,,,
SEN,,,,,,,,,,,72.9,,,,,73.1,
SRB,,,,,,,,,,,84.7,,,,,,
SLE,,,,,,,,,,,66.4,,,50.2,,,
SOM,,,,,,,,,,,,38.7,,,,,
ZAF,,,,72.3,,,,,,,,,,,,,
SUR,,,,,,,,,,,,87.9,,,,,
SWZ,,,,,,,,,,,,87.7,,,,,
SYR,,,,,,,,,,,,74.2,,,,,
TJK,,,,,,,,,,,33.9,,,,,,
TZA,,81.4,,,81.6,,,,,83.4,,,,,,83.6,
THA,,,,,,,,,,,94.8,,,,,,
TLS,,,,,,,,,,,,,,,58.4,,
TGO,,,,48.7,,,,,,,,70.5,,,,,
TTO,,,,,,,,,,,,82.2,,,,,
TUR,,,,66.3,,,,,73.9,,,,,,,,
UGA,60.4,,,,,52.6,,,,,,59.4,,,,,
UZB,,91.1,,,,,,,,,,90.1,,,,,
VUT,,,,,,,,,,,,,53.6,,,,
VNM,,,59.6,,,,,75.9,,,,74.5,,,,,
YEM,,,,,,,,,,,,63.2,,,,,
ZMB,,83.5,,,,,79.9,,,,,,77.9,,,,
ZWE,,,,,69.1,,,,,,66.1,,,,82,72.4,
ASE,,,,60.4,,,,,,,79.4,,,,,,
SAM,,,,60.4,,,,,,,79.4,,,,,,
SAE,,,,45.2064,,,,,,,59.2369,,,,,,
# Series: IPOLMAIN,,,,,,,,,,,,,,,,,
"# Name: Pol3 immunization, male",,,,,,,,,,,,,,,,,
# Definition: The percentage of one-year-olds who have received three doses of polio vaccine in a given year.,,,,,,,,,,,,,,,,,
# Source: WHO; aggregates MICS and DHS,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
