ISO,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010
ARM,,,,,,31.1,,,,,,
BEN,,,,,,27.1,,,,,,
BTN,,,,,,24,,,,,,
BOL,,,,,11.3,,,9.5,,,,
BRA,,,,,,,,,,,4.2,
BFA,,,,,,24.9,,,,,,
BDI,,9.4,,,,,,,,,,
KHM,,,,,,,30.1,,,,,
CMR,,,,20.3,,,,,,,,
CPV,,,,,21.7,,,,,,,
COL,,,,,,14.6,,,,,,
COG,,,,,,,,18.9,,,,
CIV,,,,,23,,,,,,,
DOM,,,6.5,,,,,,,,,
SLV,,,,,,10.1,,,,,,
GAB,,,,,,,,11.6,,,,
GHA,,22.6,,,,,,,,,,
GTM,,,13.3,,,,,,13.4,,,
GIN,,,,,,20.7,,,,,,
IND,,,,,,,,38.3,,,,39.3
IDN,,,,,40,,,,,,,
JOR,,,,,8.6,,,,,,,
KAZ,,,,,,17.6,,,,,,
LSO,,,,,20.2,,,,,,,
LBR,,,,,,,,,,9.3,,
MDG,,,,,,,,23.2,,,,
MWI,,,,,,,19.2,,,,,
MLI,,,,,,,,,27,,,
MEX,,,,,,,8.7,,,,,
MAR,,20.7,,,,,,,,,,
MOZ,,,,,,18.3,,,,,,
NPL,,,,,,27.1,,,,,,
NIC,,20.7,,23.3,,,,23.6,,,,
NER,,,,,,,,26.1,,,,
NGA,,,,,,,14.8,,,,,
PAK,,,,,,,,40.3,,,,
PAN,8.7,,,,,,,,,,,
PRY,,,,,19.7,,,,,,,
PER,,,,,14.6,,,,14.5,,,
PHL,,,,,,26.5,,,,,,
SEN,,,,28.5,,,,,,,,
SLE,,,,,,22,,,,,,
ZAF,,,12,,,,,,,,,
LKA,,,,,28.3,,,,,,,
TJK,,,,,,33,,,,,,
THA,,,,,13.2,,,,,,,
TLS,,,,24.6,,,,,,,,
TGO,,,,,,,,,32,,,
TUR,,,,,8.6,,,,,,,
UGA,,,,,,,,27.5,,,,
VNM,,,,,,,34.1,,29.8,,,
ASE,,,,,,,,39.3,,,,39.3
SAM,,,,,,,,38.3,,,,39.3
SAE,,,,,,,,32.9191,,,,29.3504
# Series: EECYMAMP,,,,,,,,,,,,
"# Name: Youth employment by economic class, moderately poor, Male",,,,,,,,,,,,
"# Definition: The share of moderately poor (between US$1.25 and US$2, PPP) male youths in total employment",,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,
