ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,13.6,24.2,22.9,20.4,8.2,15,12.7,16.6
AND,,,,,,,,0,100,100,0,,0
ARM,28.4,20.9,28.4,14.3,26.5,19,32.9,16.9,30.1,30.1,22.7,25.4,35.2
AUS,,,,,31.3,37.5,32.9,34.3,38.5,28.2,38.7,35.2,32.7
AUT,,48.2,51.1,42,46.4,44.2,35.8,38.3,33.3,36.2,39.4,39.3,40.2
AZE,,,,,,,,,,,30.1,,
BHS,,,,,,15.4,8.2,10.3,9.6,11.5,14.9,12.6,
BRB,,,,,,,,,,21.1,32.3,,
BLR,,,,,,,,34.1,33.2,40.7,,,
BLZ,,,,,,,,,,9.3,12.5,9.7,
BIH,20.2,35.4,27.8,,,,,,,21.1,30.4,31.4,
BGR,,,,,,26.1,29,21.5,20.9,23.3,18.4,23.4,17.7
CAN,,,,,,27.4,28.1,28,25.2,28,28.6,30.2,
CHL,,,,,,14.4,15.4,18,17.5,15.8,17.7,18.1,
CHN,,,,,44.4,38.2,51.4,61.1,69.4,53.2,54.3,52.9,
COL,,,,,8.1,8.2,7.6,8.1,7.8,8,8,8.4,
CRI,,,,,,,12.8,10,11.7,11.2,11.6,13.5,12.3
HRV,,,,,44.6,39.7,43.2,38.7,33.8,49,51.6,42.9,35.3
CYP,,,,,25,10,26.7,23.1,22.2,36.8,12.5,66.7,22.7
CZE,29.8,37.3,43.6,35.6,35.8,41.7,41.5,43.7,38.6,40.4,51.5,51.2,45.7
DNK,,,,,,,,,,,52.4,32.6,34
DOM,,,,,,,,,,,9,9.5,8.9
EGY,,,,,16.1,12.1,26.2,24,20.6,21.2,10.7,12.2,
SLV,,,,,,,,9.7,10,13.5,14.1,14.4,11
EST,17.9,21.7,22.6,27,17.4,25.2,27.3,20,22,30.5,23.4,,
FJI,,,,,,39.1,54.5,85.7,58.8,,,,
FIN,,,,28.6,22.6,29.9,31.1,37.7,33.1,28.3,22.4,33.3,46.1
GEO,,,,,11.4,17.9,13.9,13.6,16.3,15.8,15,24.3,
DEU,,,,,45.9,45,47.9,47.8,46.7,49.6,52,47.3,
GRC,,,,,5.1,3.8,4.4,9.3,3,6.6,,,
GRD,,,,,,27.3,25,18.2,12.5,42.9,20,25,35.7
GTM,,,,,11,9.7,10.2,10.2,10.9,11.1,,,
GUY,,,,,,19.7,15,24.3,24.1,24.8,22.1,40,
HND,,,,,,,,,,6.9,,6.8,
