ISO,1998,2000,2004,2005,2006,2007,2008,2009,2010
ARM,,,,,,,,3.3,
AZE,,,,,4.2,,,,
KHM,,,,3.1,,,,,
CMR,,,10.9,,,,,,
CPV,,,,4.6,,,,,
COD,,,,,,12,,,
DOM,,,,,,6.6,,,
EGY,,,,6.2,,,,,
GHA,,,,,,,5.2,,
HTI,,,,,5.6,,,,
JOR,,,,,,5.4,,,
KIR,,,,,,,23,,
MWI,,,5.3,,,,,,
MDV,,,,,6.3,,,,
NGA,,,,,,,5.1,,
PHL,,,,,,,3.6,,
RWA,,,,10.2,,,,,
WSM,,9.9,,,,,,,
STP,,,,,,,,6.9,
SLB,,,,,,,,10.7,
ZAF,3.7,,,,,,,,
TLS,,,,,,,,,3.7
TUR,,,,,,,,9.7,
UGA,,,,,15.7,,,,
UKR,,,,,,3.7,,,
VNM,,,,,,,,4.7,
ZMB,,,,,,9.6,,,
ZWE,,,,,8.3,,,,
# Series: ADPVFECP,,,,,,,,,
"# Name: Experienced abuse during pregnancy, % women",,,,,,,,,
# Definition: % of women who experienced abuse during pregnancy,,,,,,,,,
"# Source: UN Women - from DHS, WHO Multi-country study, International Violence Against Women Surveys",,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,
