ISO,2004,2005,2006,2008,2009,2010
ARG,,,,,39.4,
ARM,,,,,6.2,
BOL,,,52.5,,,
BRA,,,,,39.9,
CHN,,,,,,27.6
COL,,,,,,45.9
CRI,,,,,34.8,
CIV,,,,54.3,,
DOM,,,,,38.7,
ECU,,,,,41.7,
EGY,,,,,19.8,
SLV,,,,,50.4,
HND,,,,,56.7,
IND,,,,,59.9,
IDN,,,,,65.8,
KGZ,,,,,22.8,
LBR,,,,,,34.8
MKD,,,,,,8.3
MUS,,,,,13.2,
MEX,,,,,39.9,
NAM,,,,37.7,,
NIC,,,,49.8,,
PAK,,,,,41.5,
PAN,,,,,33.5,
PRY,,,,,59.4,
PER,,,,,48.1,
PHL,,,,50.6,,
MDA,,,,,5.4,
RUS,,,,,,42.9
SRB,,,,,,4.4
ZAF,,,,,,28.7
LKA,,,,,42.7,
TZA,,74.1,,,,
THA,,,,,,36
TUR,,,,,17.1,
UGA,,,,,,37.9
UKR,,,,,3.7,
URY,,,,,31.1,
VEN,,,,,34.5,
VNM,,,,,47,
ZMB,,,,41.4,,
ZWE,56.8,,,,,
AAE,,,,,,31.8
AME,,,,,42.1615,
LMA,,,,,38.2083,
ASE,,,,,48.0333,
UMA,,,,,,25.15
EAM,,,,,,27.6
LCM,,,,,39.9,
LMM,,,,,42.7,
SAM,,,,,42.7,
UMM,,,,,,27.6
EAE,,,,,,17.9993
LCE,,,,,32.0812,
LMW,,,,,42.3126,
SAE,,,,,49.8137,
UMW,,,,,,18.272
# Series: SSIETOIE,,,,,,
"# Name: Informal employment in services other than trade or transportation, Total",,,,,,
"# Definition: Informal employment in services other than trade or transportation, total (Share of informal employment by kind)",,,,,,
# Source: Informal Economy 2012 Country Data,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,
