ISO,2012
ALB,yes
DZA,yes
AGO,yes
ARG,yes
ARM,yes
AUS,yes
AZE,yes
BGD,yes
BEN,yes
BOL,yes
BIH,yes
BRA,yes
BFA,yes
KHM,yes
CMR,no
CAN,yes
CHL,yes
CHN,yes
COL,yes
CRI,yes
CIV,yes
HRV,yes
COD,yes
DNK,yes
ECU,yes
EGY,no
SLV,yes
ETH,yes
FJI,yes
FIN,yes
FRA,yes
DEU,yes
GHA,no
GTM,no
HTI,no
HND,yes
IND,yes
IDN,no
IRN,no
ITA,yes
JAM,no
JPN,no
JOR,yes
KAZ,no
KEN,yes
LVA,yes
LBN,no
LSO,yes
LTU,yes
MKD,yes
MDG,yes
MWI,yes
MYS,yes
MLI,no
MUS,yes
MEX,yes
MNG,yes
MAR,yes
MOZ,yes
NAM,yes
NPL,yes
NIC,yes
NER,yes
NGA,no
PAK,yes
PAN,yes
PRY,yes
PER,yes
PHL,yes
POL,yes
PRT,yes
KOR,yes
ROU,yes
RUS,yes
RWA,yes
SAU,no
SEN,yes
SRB,yes
SLE,yes
SGP,yes
ZAF,yes
ESP,yes
LKA,yes
SWE,yes
CHE,yes
SYR,yes
THA,yes
TUN,yes
TUR,yes
UGA,yes
UKR,yes
GBR,yes
USA,yes
URY,yes
UZB,yes
VEN,yes
YEM,yes
ZMB,yes
ZWE,yes
# Series: ISTLGASH,
"# Name: Legislation exists that specifically addresses sexual harassment, yes/no.",
# Definition: There is legislation that specifically addresses sexual harassment.,
"# Source: World Bank, Women Business and the Law",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
