ISO,1999,2000,2001,2002,2003,2004,2005
ARM,,76.8,,,,,
BGD,,,,,,85.6,
BEN,,,79.3,,,,
BOL,,,,,92.6,,
BFA,,,,,80.7,,
KHM,,51.7,,,,,
CMR,,,,,,85.6,
TCD,,,,,,75.6,
COL,,97,,,,,97.8
DOM,,,,96.6,,,
EGY,,90.6,,,,,
ERI,,,,86.5,,,
ETH,,87.5,,,,,
GHA,,,,,85.2,,
GIN,,,,,,,77.6
HTI,,93.8,,,,,
IDN,,,,,98.2,,
KEN,,,,,90.2,,
LSO,,,,,,88,
MDG,,,,,,77.8,
MWI,,82.9,,,,85.6,
MLI,,,71.1,,,,
MAR,,,,,,78.8,
MOZ,,,,,90.5,,
NAM,,95.2,,,,,
NPL,,,88.2,,,,
NIC,,,94.7,,,,
NGA,,,,,84.2,,
PER,,93.5,,,,,
PHL,,,,,91.4,,
RWA,,73.6,,,,,78.2
SEN,,,,,,,70.6
TZA,,,,,,,86.8
TKM,,33.9,,,,,
UGA,,,87,,,,
ZMB,,,,84.6,,,
ZWE,86,,,,,,
# Series: ECSSFDHS,,,,,,,
# Name: Single women's control over earnings - self only,,,,,,,
"# Definition: Percent distribution of women employed in the 12 months who received cash earning for work by person who decides how earnings are used, according to current marital status and the proportion of household expenditures met by earnings.",,,,,,,
# Source: DHS Household Surveys,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,
